file,event_id,original_text_whisper,duration_seconds,size_bytes,replacement_file_to_copy_here,manual_notes
01.mp3,01,,2.00,44811,,Silent/blank audio slot (no speech)
02.mp3,02,,29.98,97056,,Silent/blank audio slot (no speech)
10.mp3,10,Turning on.,0.88,7200,,
20.mp3,20,Turning off.,0.88,7344,,
30.mp3,30,Please remove the robot vacuum from the station before turning it off.,3.94,19440,,
40.mp3,40,Starting to restore factory settings.,2.22,12816,,
50.mp3,50,System reset successfully.,1.74,11088,,
60.mp3,60,Waiting for the network setup.,1.62,10800,,
61.mp3,61,Please download and connect to the Mi Home slash Xiaomi Home app to explore more functions.,4.86,24048,,
70.mp3,70,"Couldn't connect to the network, please check and try again.",3.32,17136,,
80.mp3,80,"Couldn't connect to the server, please check and try again.",3.22,16704,,
90.mp3,90,Connecting to the network.,1.38,9504,,
100.mp3,100,Network connected successfully.,1.82,11664,,
110.mp3,110,Starting a scheduled clean-up.,1.72,10656,,
130.mp3,130,Start cleanup.,2.00,8208,,
140.mp3,140,Custom mode starts.,1.36,9360,,
150.mp3,150,Custom cleanup starts.,1.48,9792,,
151.mp3,151,Start a cleanup task under the custom mode.,2.50,13824,,
152.mp3,152,Custom cleanup starts.,1.48,9792,,
153.mp3,153,Return to the station to clean mop pads automatically before starting a cleanup task.,4.98,23760,,
154.mp3,154,"The station is performing a task, please try again later.",3.40,17424,,
160.mp3,160,Start to quickly create a map.,1.86,11232,,
170.mp3,170,Paused.,0.68,6624,,
180.mp3,180,Continue clean up.,1.18,8496,,
190.mp3,190,Clean-up resumes.,2.00,8496,,
200.mp3,200,Map creation is being resumed.,2.00,12096,,
201.mp3,201,End cleanup.,1.04,8064,,
202.mp3,202,Mapping ended.,2.00,8352,,
210.mp3,210,Cleanup completed and return to the station to charge.,2.98,15840,,
220.mp3,220,Mapping completed and return to the station to charge.,3.06,16128,,
230.mp3,230,Start returning to the station to charge.,2.20,12672,,
240.mp3,240,"Low battery, the vacuum mop will return to the station to charge. Once it is fully charged, it will continue the task.",7.66,34416,,
250.mp3,250,"Low battery, returning to the station to charge.",2.98,15840,,
260.mp3,260,"Low battery, please wait until charging is completed.",3.08,16416,,
270.mp3,270,Move the robot vacuum back to the station.,2.36,13392,,
280.mp3,280,The robot vacuum is already on the station.,2.52,14112,,
290.mp3,290,"Low battery, the robot vacuum needs to be charged.",3.24,16992,,
300.mp3,300,"Low battery, the robot vacuum will be turned off.",3.18,16416,,
301.mp3,301,Please use after a full charge for optimal experience.,3.32,17280,,
310.mp3,310,Start charging.,2.00,8208,,
320.mp3,320,Stop returning to the station to charge.,2.22,12816,,
350.mp3,350,Please install the dust compartment.,2.00,11520,,
370.mp3,370,"The mop pad tray has fallen off, please reinstall it before use.",4.06,20016,,
380.mp3,380,Mop Pad Installed,2.00,9360,,
390.mp3,390,Mop pad removed.,1.30,9072,,
400.mp3,400,"Task completed, please remove and clean the mop pads in time.",3.76,18864,,
410.mp3,410,The dust compartment has been removed.,2.00,12096,,
420.mp3,420,The dust compartment has been installed.,2.06,12240,,
430.mp3,430,Please do not turn off the robot vacuum or start a task.,4.14,20304,,
